"Species","PrvCategory","PstCategory","ReasonForChange","RedListVersion","synonym"
"Bellamya pagodiformis","EN","CR","G","2010","Bellamya pagodiformis"
"Biomphalaria tchadiensis","EN","EN","G","2010","Biomphalaria tchadiensis"
"Bythinella cylindrica","VU","CR","G","2010","Paludinella cylindrica"
"Bythinella cylindrica","VU","CR","G","2010","Bythinella cylindrica"
"Melanopsis etrusca","VU","EN","G","2010","Melanopsis etrusca"
"Cambarus cymatilis","VU","EN","G","2010","Cambarus cymatilis"
"Cambarus obeyensis","VU","CR","G","2010","Cambarus obeyensis"
"Cherax tenuimanus","VU","CR","G","2010","Cherax tenuimanus"
"Engaeus granulatus","EN","CR","G","2010","Engaeus granulatus"
"Engaeus spinicaudatus","EN","CR","G","2010","Engaeus spinicaudatus"
"Engaeus sternalis","EN","CR","G","2010","Engaeus sternalis"
"Engaewa similis","EN","LC","G","2010","Engaewa similis"
"Euastacus bindal","EN","CR","G","2010","Euastacus bindal"
"Euastacus fleckeri","VU","EN","G","2010","Euastacus fleckeri"
"Euastacus maidae","EN","CR","G","2010","Euastacus maidae"
"Euastacus neodiversus","VU","EN","G","2010","Euastacus neodiversus"
"Euastacus yigara","EN","CR","G","2010","Euastacus yigara"
"Hobbseus orconectoides","VU","EN","G","2010","Hobbseus orconectoides"
"Hobbseus valleculus","VU","EN","G","2010","Hobbseus valleculus"
"Orconectes jeffersoni","VU","EN","G","2010","Orconectes jeffersoni"
"Procambarus apalachicolae","VU","EN","G","2010","Procambarus apalachicolae"
"Agathis lanceolata","LR/cd","VU","G","2010","Agathis lanceolata"
"Agathis ovata","LR/cd","EN","G","2010","Agathis ovata"
"Araucaria biramulata","LR/cd","VU","G","2010","Araucaria biramulata"
"Araucaria humboldtensis","LR/cd","EN","G","2010","Araucaria humboldtensis"
"Araucaria montana","LR/lc","VU","G","2010","Araucaria montana"
"Araucaria muelleri","LR/cd","EN","G","2010","Araucaria muelleri"
"Libocedrus yateensis","VU","EN","G","2010","Libocedrus yateensis"
"Neocallitropsis pancheri","VU","EN","G","2010","Neocallitropsis pancheri"
"Parasitaxus ustus","LR/nt","VU","G","2010","Parasitaxus ustus"
"Podocarpus decumbens","VU","CR","G","2010","Podocarpus decumbens"
"Podocarpus polyspermus","VU","EN","G","2010","Podocarpus polyspermus"
"Ceratozamia latifolia","VU","EN","G","2010","Ceratozamia latifolia"
"Ceratozamia miqueliana","VU","CR","G","2010","Ceratozamia miqueliana"
"Ceratozamia robusta","VU","EN","G","2010","Ceratozamia robusta"
"Cycas armstrongii","LC","VU","G","2010","Cycas armstrongii"
"Cycas elongata","VU","EN","G","2010","Cycas elongata"
"Cycas lindstromii","VU","EN","G","2010","Cycas lindstromii"
"Cycas pachypoda","VU","CR","G","2010","Cycas pachypoda"
"Cycas taitungensis","VU","EN","G","2010","Cycas taitungensis"
"Encephalartos brevifoliolatus","EW","EW","G","2010","Encephalartos brevifoliolatus"
"Encephalartos cerinus","CR","CR(PE)","G","2010","Encephalartos cerinus"
"Encephalartos ferox","LC","NT","G","2010","Encephalartos ferox"
"Encephalartos whitelockii","VU","CR","G","2010","Encephalartos whitelockii"
"Macrozamia lomandroides","VU","EN","G","2010","Macrozamia lomandroides"
"Stangeria eriopus","NT","VU","G","2010","Stangeria eriopus"
"Equus ferus","CR","EN","G","2011","Equus ferus"
"Oryx leucoryx","EN","VU","G","2011","Antilope oryx"
"Oryx leucoryx","EN","VU","G","2011","Oryx leucoryx"
"Sylvilagus mansuetus","NT","CR","G","2011","Sylvilagus mansuetus"
"Anas nesiotis","CR","EN","G","2011","Anas nesiotis"
"Ardeotis nigriceps","EN","CR","G","2011","Ardeotis nigriceps"
"Atlapetes pallidiceps","CR","EN","G","2011","Atlapetes pallidiceps"
"Columba bollii","NT","LC","G","2011","Columba bollii"
"Columba junoniae","EN","NT","G","2011","Columba junoniae"
"Columba trocaz","NT","LC","G","2011","Columba trocaz"
"Myiagra albiventris","VU","NT","G","2011","Myiagra albiventris"
"Glyptemys insculpta","VU","EN","G","2011","Glyptemys insculpta"
"Glyptemys muhlenbergii","EN","CR","G","2011","Glyptemys muhlenbergii"
"Graptemys pulchra","LR/lc","NT","G","2011","Graptemys pulchra"
"Terrapene carolina","LR/nt","VU","G","2011","Terrapene carolina"
"Thunnus albacares","LR/lc","NT","G","2011","Thunnus albacares"
