"Species","PrvCategory","PstCategory","ReasonForChange","RedListVersion"
"Podocarpus decumbens","VU","CR","G","2010"
"Podocarpus polyspermus","VU","EN","G","2010"
"Ceratozamia latifolia","VU","EN","G","2010"
"Ceratozamia miqueliana","VU","CR","G","2010"
"Ceratozamia robusta","VU","EN","G","2010"
"Cycas armstrongii","LC","VU","G","2010"
"Cycas elongata","VU","EN","G","2010"
"Cycas lindstromii","VU","EN","G","2010"
"Cycas pachypoda","VU","CR","G","2010"
"Cycas taitungensis","VU","EN","G","2010"
"Encephalartos brevifoliolatus","EW","EW","G","2010"
"Encephalartos cerinus","CR","CR(PE)","G","2010"
"Encephalartos ferox","LC","NT","G","2010"
"Encephalartos whitelockii","VU","CR","G","2010"
"Macrozamia lomandroides","VU","EN","G","2010"
"Stangeria eriopus","NT","VU","G","2010"
"Equus ferus","CR","EN","G","2011"
"Oryx leucoryx","EN","VU","G","2011"
"Sylvilagus mansuetus","NT","CR","G","2011"
"Anas nesiotis","CR","EN","G","2011"
"Ardeotis nigriceps","EN","CR","G","2011"
"Atlapetes pallidiceps","CR","EN","G","2011"
"Columba bollii","NT","LC","G","2011"
"Columba junoniae","EN","NT","G","2011"
"Columba trocaz","NT","LC","G","2011"
"Myiagra albiventris","VU","NT","G","2011"
"Glyptemys insculpta","VU","EN","G","2011"
"Glyptemys muhlenbergii","EN","CR","G","2011"
"Graptemys pulchra","LR/lc","NT","G","2011"
"Terrapene carolina","LR/nt","VU","G","2011"
"Thunnus albacares","LR/lc","NT","G","2011"
"Actinella anaglyptica","VU","NT","G","2011"
"Canariella pthonera","LR/cd","VU","G","2011"
"Candidula setubalensis","VU","EN","G","2011"
"Caseolus calvus","VU","EN","G","2011"
"Cornu mazzullii","VU","EN","G","2011"
"Discus guerinianus","EN","CR","G","2011"
"Hemicycla inutilis","LR/cd","VU","G","2011"
"Lampadia webbiana","VU","EN","G","2011"
"Leiostyla concinna","VU","EN","G","2011"
"Leiostyla degenerata","VU","NT","G","2011"
"Leiostyla relevata","VU","NT","G","2011"
"Lemniscia michaudi","VU","NT","G","2011"
"Orcula fuchsi","LR/nt","CR","G","2011"
"Plutonia reticulata","EN","CR","G","2011"
"Pseudanodonta complanata","LR/nt","VU","G","2011"
"Renea bourguignatiana","VU","CR","G","2011"
"Suboestophora altamirai","LR/nt","VU","G","2011"
"Suboestophora hispanica","LR/nt","VU","G","2011"
"Theba arinagae","VU","CR","G","2011"
"Xerocrassa montserratensis","LR/nt","EN","G","2011"
"Xerotricha gasulli","LR/nt","EN","G","2011"
"Centranthus trinervis","CR","EN","G","2011"
"Silene hicesiae","CR","VU","G","2011"
"Abies pinsapo","LR/nt","EN","G","2011"
"Glyptostrobus pensilis","EN","CR","G","2011"
"Taxus contorta","VU","EN","G","2011"
"Eumetopias jubatus","EN","NT","G","2012"
"Accipiter poliogaster","LC","NT","G","2012"
"Agamia agami","LC","VU","G","2012"
"Amazona festiva","LC","VU","G","2012"
"Amazona kawalli","LC","NT","G","2012"
"Amytornis housei","LC","NT","G","2012"
"Amytornis merrotsyi","LC","NT","G","2012"
"Aphelocoma insularis","NT","VU","G","2012"
"Arremon castaneiceps","LC","NT","G","2012"
"Asthenes helleri","LC","VU","G","2012"
"Atrichornis clamosus","VU","EN","G","2012"
"Atrichornis rufescens","VU","EN","G","2012"
"Aythya baeri","EN","CR","G","2012"
"Cacicus koepckeae","VU","EN","G","2012"
"Calidris pusilla","LC","NT","G","2012"
"Capito dayi","LC","VU","G","2012"
"Cercomacra carbonaria","NT","CR","G","2012"
"Clangula hyemalis","LC","VU","G","2012"
"Conirostrum bicolor","LC","NT","G","2012"
"Conirostrum margaritae","LC","VU","G","2012"
"Conopias cinchoneti","LC","VU","G","2012"
"Cranioleuca curtata","LC","VU","G","2012"
"Cranioleuca marcapatae","LC","VU","G","2012"
"Cranioleuca muelleri","LC","EN","G","2012"
"Crax alector","LC","VU","G","2012"
"Crypturellus atrocapillus","LC","NT","G","2012"
"Crypturellus duidae","LC","NT","G","2012"
"Cyanolyca viridicyanus","LC","NT","G","2012"
"Cyanoramphus cookii","EN","CR","G","2012"
"Dasyornis longirostris","VU","EN","G","2012"
"Deconychura longicauda","LC","NT","G","2012"
"Dendrocolaptes hoffmannsi","LC","VU","G","2012"
"Dendroplex kienerii","LC","NT","G","2012"
"Discosura popelairii","LC","NT","G","2012"
"Dysithamnus leucostictus","LC","VU","G","2012"
"Erythrura gouldiae","EN","NT","G","2012"
"Eubucco versicolor","LC","NT","G","2012"
"Falco deiroleucus","LC","NT","G","2012"
"Geophaps smithii","NT","VU","G","2012"
"Geotrygon saphirina","LC","VU","G","2012"
"Grallaria przewalskii","LC","VU","G","2012"
"Grallaricula flavirostris","LC","NT","G","2012"
"Gyps africanus","NT","EN","G","2012"
"Gyps rueppellii","NT","EN","G","2012"
"Heliodoxa gularis","NT","VU","G","2012"
"Hemispingus parodii","LC","NT","G","2012"
"Herpsilochmus axillaris","LC","VU","G","2012"
"Herpsilochmus motacilloides","LC","NT","G","2012"
"Hylexetastes brigidai","LC","VU","G","2012"
"Hylexetastes uniformis","LC","VU","G","2012"
"Hylophilus olivaceus","LC","NT","G","2012"
"Hypocnemis cantator","LC","NT","G","2012"
"Lepidothrix iris","LC","VU","G","2012"
"Lepidothrix isidorei","LC","NT","G","2012"
"Leptopogon taczanowskii","LC","NT","G","2012"
"Lophornis gouldii","LC","VU","G","2012"
"Lorius domicella","VU","EN","G","2012"
"Melanitta fusca","LC","EN","G","2012"
"Mitu tomentosum","LC","NT","G","2012"
"Myrmoborus lugubris","LC","VU","G","2012"
"Myrmoborus melanurus","NT","VU","G","2012"
"Myrmornis torquata","LC","NT","G","2012"
"Myrmotherula gutturalis","LC","NT","G","2012"
"Myrmotherula surinamensis","LC","VU","G","2012"
"Neomorphus squamiger","NT","VU","G","2012"
"Nothocercus nigrocapillus","LC","VU","G","2012"
"Odontophorus gujanensis","LC","NT","G","2012"
"Odontophorus speciosus","LC","NT","G","2012"
"Odontorchilus cinereus","LC","NT","G","2012"
"Pachycephala rufogularis","NT","VU","G","2012"
"Patagioenas subvinacea","LC","VU","G","2012"
"Penelope pileata","NT","VU","G","2012"
"Percnostola lophotes","LC","NT","G","2012"
"Phlogophilus hemileucurus","NT","VU","G","2012"
"Phylloscartes gualaquizae","LC","NT","G","2012"
"Picumnus minutissimus","LC","NT","G","2012"
"Picumnus spilogaster","LC","VU","G","2012"
"Picumnus steindachneri","VU","EN","G","2012"
"Picumnus varzeae","LC","EN","G","2012"
"Pionites leucogaster","LC","VU","G","2012"
"Pipile cumanensis","LC","VU","G","2012"
"Podiceps gallardoi","EN","CR","G","2012"
"Poecilotriccus luluae","VU","EN","G","2012"
"Pomarea dimidiata","EN","VU","G","2012"
"Prioniturus verticalis","EN","CR","G","2012"
"Psophia viridis","LC","EN","G","2012"
"Pteroglossus bitorquatus","LC","NT","G","2012"
"Puffinus yelkouan","NT","VU","G","2012"
"Pyrilia barrabandi","LC","NT","G","2012"
"Pyrilia caica","LC","NT","G","2012"
"Pyrilia vulturina","LC","VU","G","2012"
"Pyrrhura lepida","NT","VU","G","2012"
"Pyrrhura perlata","LC","VU","G","2012"
"Pyrrhura rupicola","LC","NT","G","2012"
"Ramphastos ambiguus","LC","VU","G","2012"
"Rhegmatorhina gymnops","LC","VU","G","2012"
"Rhegmatorhina hoffmannsi","LC","NT","G","2012"
"Sclerurus albigularis","LC","NT","G","2012"
"Sericossypha albocristata","LC","VU","G","2012"
"Snowornis subalaris","LC","NT","G","2012"
"Spizaetus ornatus","LC","NT","G","2012"
"Sterna acuticauda","NT","EN","G","2012"
"Synallaxis cabanisi","LC","NT","G","2012"
"Synallaxis kollari","EN","CR","G","2012"
"Synallaxis maranonica","VU","CR","G","2012"
"Synallaxis moesta","LC","NT","G","2012"
"Tangara argyrofenges","LC","VU","G","2012"
"Thamnophilus cryptoleucus","LC","NT","G","2012"
"Thamnophilus nigrocinereus","LC","NT","G","2012"
"Thamnophilus tenuepunctatus","LC","VU","G","2012"
"Thinornis rubricollis","NT","VU","G","2012"
"Tinamus guttatus","LC","NT","G","2012"
"Tinamus major","LC","NT","G","2012"
"Tinamus tao","LC","VU","G","2012"
"Touit huetii","LC","VU","G","2012"
"Xanthomyza phrygia","EN","CR","G","2012"
"Xipholena lamellipennis","LC","NT","G","2012"
"Zebrilus undulatus","LC","NT","G","2012"
"Zimmerius cinereicapilla","LC","VU","G","2012"
"Calamaria ingeri","EN","CR","G","2012"
"Cyclura lewisi","CR","EN","G","2012"
"Naja siamensis","LC","VU","G","2012"
"Anodonthyla hutchisoni","DD","EN","G","2012"
"Leptoxis taeniata","VU","EN","G","2012"
"Marstonia ozarkensis","DD","CR","G","2012"
"Potamilus capax","CR","VU","G","2012"
"Pyrgulopsis metcalfi","VU","EN","G","2012"
"Pyrgulopsis roswellensis","DD","VU","G","2012"
"Pyrgulopsis thompsoni","VU","NT","G","2012"
"Pyrgulopsis trivialis","DD","CR","G","2012"
"Stagnicola bonnevillensis","VU","CR","G","2012"
"Borassus madagascariensis","VU","EN","G","2012"
"Dypsis andrianatonga","LR/nt","VU","G","2012"
"Dypsis basilonga","EN","CR","G","2012"
"Dypsis malcomberi","VU","EN","G","2012"
"Dypsis mcdonaldiana","VU","EN","G","2012"
"Dypsis sahanofensis","EN","CR","G","2012"
"Masoala madagascariensis","VU","CR","G","2012"
"Newtonia erlangeri","LR/nt","EN","G","2012"
"Ravenea lakatra","EN","CR","G","2012"
"Ravenea louvelii","EN","CR","G","2012"
"Tayassu pecari","NT","VU","G","2013"
"Urocyon littoralis","CR","NT","G","2013"
"Acrocephalus rodericanus","EN","NT","G","2013"
"Acrocephalus sorghophilus","VU","EN","G","2013"
"Ardeotis kori","LC","NT","G","2013"
"Cacatua alba","VU","EN","G","2013"
"Emberiza aureola","VU","EN","G","2013"
"Eupodotis afra","LC","VU","G","2013"
"Foudia flavicans","VU","NT","G","2013"
"Garrulax rufifrons","NT","EN","G","2013"
"Oriolus mellianus","VU","EN","G","2013"
"Oryzoborus maximiliani","NT","VU","G","2013"
"Phalacrocorax capensis","NT","EN","G","2013"
"Picoides borealis","VU","NT","G","2013"
"Polemaetus bellicosus","NT","VU","G","2013"
"Sarothrura ayresi","EN","CR","G","2013"
"Thalassarche chrysostoma","VU","EN","G","2013"
"Dermochelys coriacea","CR","VU","G","2013"
"Balebreviceps hillmani","EN","CR","G","2013"
"Duellmanohyla uranochroa","CR","EN","G","2013"
"Lithobates vibicarius","CR","VU","G","2013"
"Mannophryne olmonae","CR","VU","G","2013"
"Melanophryniscus admirabilis","NT","CR","G","2013"
"Cyprinodon pecosensis","CR","VU","G","2013"
"Dionda diaboli","VU","EN","G","2013"
"Ictalurus pricei","VU","EN","G","2013"
"Noturus taylori","VU","EN","G","2013"
"Oregonichthys crameri","VU","LC","G","2013"
"Percina antesella","VU","EN","G","2013"
"Percina cymatotaenia","EN","VU","G","2013"
"Percina jenkinsi","VU","CR","G","2013"
"Plagopterus argentissimus","VU","CR","G","2013"
"Pogonichthys macrolepidotus","EN","LC","G","2013"
"Cedrus atlantica","LC","EN","G","2013"
"Chamaecyparis lawsoniana","VU","NT","G","2013"
"Nageia maxima","VU","EN","G","2013"
"Nageia motleyi","LC","VU","G","2013"
"Picea purpurea","LC","NT","G","2013"
"Pinus albicaulis","VU","EN","G","2013"
"Pinus coulteri","LC","NT","G","2013"
"Pinus durangensis","LC","NT","G","2013"
"Pinus radiata","LR/cd","EN","G","2013"
"Podocarpus confertus","LC","EN","G","2013"
"Podocarpus ridleyi","LC","VU","G","2013"
"Podocarpus rumphii","LC","NT","G","2013"
"Podocarpus teysmannii","LC","NT","G","2013"
"Podocarpus urbanii","NT","CR","G","2013"
"Taxus chinensis","LC","EN","G","2013"
"Taxus globosa","NT","EN","G","2013"
"Tsuga canadensis","LC","NT","G","2013"
"Widdringtonia whytei","EN","CR","G","2013"
"Ariocarpus scaphirostris","VU","EN","G","2013"
"Cereus mirabella","VU","EN","G","2013"
"Discocactus horstii","EN","VU","G","2013"
"Diospyros katendei","CR","CR(PE)","G","2013"
"Mammillaria aureilanata","VU","EN","G","2013"
"Mammillaria guelzowiana","CR","LC","G","2013"
"Micranthocereus albicephalus","NT","VU","G","2013"
"Pereskia aureiflora","VU","EN","G","2013"
