Scientific name,Common name,"IUCN Red List(2016)Category","IUCN RedList (2017)Category","Reason forchange","Red Listversion"
Pseudemoia baudini,Baudin’s Skink,DD,LC,N,2017-3
Ramphotyphlops exocoeti,Christmas Island Blind Snake,VU,EN,G,2017-3
Scelotes guentheri,Günther's Dwarf Burrowing Skink,VU,EX,N,2017-1
Scelotes inornatus,Durban Dwarf Burrowing Skink,EN,CR,N,2017-1
Scelotes kasneri,Kasner's Dwarf Burrowing Skink,VU,NT,N,2017-1
Sphaerodactylus torrei,Cuban Broad-banded Sphaero,VU,EN,N,2017-3
Telescopus rhinopoma,Indian Desert Tiger Snake,LC,DD,N,2017-2
Typhlosaurus lomiae,Lomi's Blind Legless Skink,VU,NT,N,2017-1
Xenocalamus transvaalensis,Speckled Quill-snouted Snake,DD,LC,N,2017-1
AMPHIBIANS,,,,,
Afrixalus nigeriensis,Nigeria Banana Frog,NT,LC,N,2017-2
Agalychnis moreletii,Morelet's Treefrog,CR,LC,N,2017-3
Allobates wayuu,,VU,LC,N,2017-3
Alsodes barrioi,Cabreria Spiny-chest Frog,VU,EN,N,2017-2
Alsodes norae,,DD,EN,N,2017-2
Ameerega ingeri,Niceforo's Poison Frog,CR,DD,N,2017-3
Amietia ruwenzorica,Ruwenzori River Frog,DD,LC,N,2017-2
Amietia tenuoplicata,Amani River Frog,NT,LC,N,2017-2
Amnirana longipes,Bamileke Plateau Frog,VU,LC,N,2017-2
Amolops compotrix,,DD,LC,N,2017-2
Amolops cucae,,DD,EN,N,2017-2
Amolops minutus,,DD,EN,N,2017-2
Amolops spinapectoralis,,DD,LC,N,2017-2
Amolops splendissimus,,DD,VU,N,2017-2
Amolops vitreus,Vitreous Cascade Frog,DD,VU,N,2017-2
Andinobates altobueyensis,Alto de Buey Poison Frog,VU,DD,N,2017-3
Andinobates bombetes,Cauca Poison Frog,EN,VU,N,2017-3
Andinobates daleswansoni,,VU,EN,N,2017-3
Andinobates viridis,Green Poison Frog,VU,CR,N,2017-3
Andinobates virolinensis,Santander Poison Frog,EN,VU,N,2017-3
Ansonia inthanon,,DD,LC,N,2017-2
Ansonia kraensis,,DD,LC,N,2017-2
Arthroleptis nlonakoensis,,DD,EN,N,2017-2
Astylosternus diadematus,Victoria Night Frog,VU,LC,N,2017-2
Astylosternus fallax,Fopouanga Night Frog,EN,VU,N,2017-2
Astylosternus montanus,Mountain Night Frog,NT,LC,N,2017-2
Astylosternus rheophilus,Cameroon Range Night Frog,VU,NT,N,2017-2
Atelopus carauta,Rio Carauta Stubfoot Toad,CR,DD,N,2017-3
Atelopus carrikeri,Guajira Stubfoot Toad,CR,EN,N,2017-3
Atelopus galactogaster,Antado Stubfoot Toad,CR,DD,N,2017-3
Atelopus guitarraensis,,CR,DD,N,2017-3
Atelopus lozanoi,Lynch's Stubfoot Toad,CR,EN,N,2017-3
Atelopus mandingues,,CR,DD,N,2017-3
Atelopus muisca,La Arboleda Stubfoot Toad,CR,EN,N,2017-3
Atelopus spurrelli,Condoto Stubfoot Toad,VU,NT,N,2017-3
Atelopus walkeri,Walker's Stubfoot Toad,CR,DD,N,2017-3
Bolitoglossa savagei,Savage's Mushroomtongue Salamander,DD,NT,N,2017-2
Bolitoglossa silverstonei,Silverstone's Mushroomtongue Salamander,VU,DD,N,2017-3
Bolitoglossa tatamae,,NT,EN,N,2017-2
Boophis schuboeae,,DD,EN,N,2017-2
Breviceps bagginsi,Bilbo's Rain Frog,VU,NT,N,2017-2
Breviceps macrops,Desert Rain Frog,VU,NT,N,2017-2
Cacosternum platys,Smooth Dainty Frog,LC,NT,N,2017-2
Capensibufo rosei,Rose’s Mountain Toadlet,VU,CR,N,2017-2
Cardioglossa alsco,,CR,EN,N,2017-2
Cardioglossa nigromaculata,Blackspotted Long-fingered Frog,NT,LC,N,2017-2
Cardioglossa schioetzi,Acha Tugi Long-fingered Frog,EN,VU,N,2017-2
Centrolene savagei,Savage's Cochran Frog,VU,LC,N,2017-3
Cochranella megistra,Urrao Cochran Frog,NT,EN,N,2017-2
Colostethus agilis,Cauca Rocket Frog,NT,EN,N,2017-3
Colostethus fraterdanieli,Santa Rita Rocket Frog,NT,LC,N,2017-3
Colostethus mertensi,Mertens' Rocket Frog,EN,VU,N,2017-3
Colostethus ucumari,,LC,EN,N,2017-2
Cryptobatrachus boulengeri,Boulenger's Backpack Frog,EN,VU,N,2017-2
Cryptobatrachus fuhrmanni,Fuhrmann's Backpack Frog,VU,LC,N,2017-3
Dendropsophus stingi,Kaplan's Garagoa Treefrog,VU,LC,N,2017-3
Didynamipus sjostedti,Four-digit Toad,EN,VU,N,2017-2
Dyscophus antongilii,Tomato Frog,NT,LC,N,2017-2
Feihyla hansenae,,DD,LC,N,2017-2
Fejervarya triora,,DD,LC,N,2017-2
Gastrotheca antomia,,VU,CR,G,2017-3
Gastrotheca aureomaculata,Gold-spotted Marsupial Frog,NT,EN,G,2017-2
Gastrotheca bufona,Antioquia Marsupial Frog,EN,VU,N,2017-3
Gastrotheca ruizi,Ruiz's Marsupial Frog,EN,NT,N,2017-2
Hemisus guttatus,Spotted Snout-burrower,VU,NT,N,2017-2
Hyla nicefori,Colombian Backpack Frog,CR,DD,N,2017-3
Hyloscirtus callipeza,Sardinata Treefrog,NT,VU,N,2017-2
Hyloscirtus lynchi,Lynch's Colombian Treefrog,EN,CR,N,2017-3
Hyloscirtus simmonsi,Simmons' Treefrog,EN,VU,N,2017-3
Hyloxalus fascianigrus,Rana Saltarina de Brazalete,NT,VU,N,2017-2
Hyperolius bopeleti,Dizangue Reed Frog,NT,VU,N,2017-2
Hyperolius cinereus,Monard's Reed Frog,DD,LC,N,2017-2
Hypodactylus latens,Boqueron Robber Frog,EN,VU,N,2017-3
Kassina decorata,Decorated Running Frog,DD,VU,N,2017-2
Leptobrachium banae,,VU,LC,N,2017-2
Leptobrachium ngoclinhense,,DD,EN,N,2017-2
Leptodactylodon albiventris,Whitebelly Egg Frog,VU,EN,N,2017-2
Leptodactylodon bicolor,Mountain Egg Frog,VU,NT,N,2017-2
Leptodactylodon boulengeri,Boulenger's Egg Frog,VU,NT,N,2017-2
Leptodactylodon bueanus,,VU,EN,N,2017-2
Leptodactylodon ovatus,Cameroon Egg Frog,NT,LC,N,2017-2
Leptodactylodon wildi,,EN,CR,N,2017-2
Leptolalax firthi,,VU,EN,N,2017-2
Leptolalax pluvialis,,DD,EN,N,2017-2
Leptolalax solus,,DD,EN,N,2017-2
Leptolalax sungi,,DD,LC,N,2017-2
Limnonectes doriae,Burmese Wart Frog,DD,LC,N,2017-2
Limnonectes limborgi,,DD,LC,N,2017-2
Limnonectes macrognathus,,DD,LC,N,2017-2
Mantella bernhardi,Bernhard's Mantella,EN,VU,N,2017-2
Mantella crocea,Eastern Golden Frog,EN,VU,N,2017-2
Mantella pulchra,Parker's Golden Frog,VU,NT,N,2017-2
Mantidactylus albofrenatus,Eastern Madagascar Frog,DD,EN,N,2017-2
Mantidactylus bourgati,,DD,EN,N,2017-2
Mantidactylus delormei,,VU,EN,N,2017-2
Mantidactylus noralottae,,VU,DD,N,2017-2
Mantidactylus tricinctus,,DD,VU,N,2017-2
Mantidactylus zolitschka,,DD,CR,N,2017-2
Megophrys lekaguli,,DD,LC,N,2017-2
Microhyla annamensis,Vietnam Rice Frog,LC,VU,N,2017-2
Niceforonia adenobrachia,,CR,EN,N,2017-3
Nymphargus armatus,,VU,CR,N,2017-3
Nymphargus ignotus,Lynch's Cochran Frog,NT,LC,N,2017-2
Nymphargus truebae,Trueb's Cochran Frog,DD,CR,N,2017-3
Occidozyga vittata,Striped Oriental Frog,DD,LC,N,2017-2
Odorrana bacboensis,Tonkin Frog,DD,LC,N,2017-2
Odorrana indeprensa,,DD,VU,N,2017-2
Odorrana orba,,DD,LC,N,2017-2
Oophaga occultator,La Brea Poison Frog,DD,CR,N,2017-3
Osornophryne percrassa,Herveo Plump Toad,EN,VU,N,2017-3
Petropedetes cameronensis,Cameroon Water Frog,NT,LC,N,2017-2
Phrynobatrachus asper,Itombwe River Frog,DD,VU,N,2017-2
Phrynobatrachus cricogaster,Nkongsamba River Frog,VU,NT,N,2017-2
Phrynobatrachus stewartae,Stewart's River Frog,DD,LC,N,2017-2
Phrynobatrachus ukingensis,Ukinga River Frog,DD,LC,N,2017-2
Phyllobates aurotaenia,Kokoe Poison Frog,NT,LC,N,2017-2
Phyllobates bicolor,Black-legged Poison Dart Frog,NT,EN,N,2017-2
Pristimantis affinis,Cundinamarca Robber Frog,VU,EN,N,2017-3
Pristimantis alalocophus,Quindio Robber Frog,NT,EN,N,2017-3
Pristimantis bipunctatus,,DD,LC,N,2017-3
Pristimantis cabrerai,Valle Robber Frog,EN,DD,N,2017-3
Pristimantis calcaratus,San Antonio Robber Frog,EN,VU,N,2017-3
