Scientific name,Common name,"IUCN Red List(2019)Category","IUCN RedList (2020)Category","Reason forchange","Red Listversion"
"",,,,,
MAMMALS (Mammalia),,,,,
Taphozous hildegardeae,Hildegarde's Tomb Bat,VU,EN,N,2020-2
Tarsius pumilus,Pygmy Tarsier,DD,EN,N,2020-3
Tarsius wallacei,Wallace’s Tarsier,DD,VU,N,2020-3
Thomasomys apeco,,VU,LC,N,2020-3
Thomasomys macrotis,,VU,LC,N,2020-3
Thomasomys onkiro,,VU,LC,N,2020-3
Thomasomys pyrrhonotus,Thomas's Oldfield Mouse,VU,DD,N,2020-3
Trachypithecus cristatus,Silvery Lutung,NT,VU,N,2020-2
Trachypithecus obscurus,Spectacled Leaf Monkey,NT,EN,N,2020-2
"",,,,,
BIRDS (Aves),,,,,
Accipiter collaris,Semi-collared Hawk,NT,LC,N,2020-3
Accipiter henstii,Henst's Goshawk,NT,VU,N,2020-3
Acrocephalus caffer,Tahiti Reed-warbler,EN,VU,N,2020-3
Actophilornis albinucha,Madagascar Jacana,NT,EN,N,2020-3
Aethopyga boltoni,Apo Sunbird,NT,LC,N,2020-3
Aethopyga primigenia,Grey-hooded Sunbird,NT,LC,N,2020-3
Aglaeactis aliciae,Purple-backed Sunbeam,EN,VU,N,2020-3
Alectoris rufa,Red-legged Partridge,LC,NT,G,2020-3
Alopecoenas kubaryi,Caroline Ground-dove,VU,EN,N,2020-3
Alophoixus bres,Brown-cheeked Bulbul,NT,EN,G,2020-3
Alophoixus tephrogenys,Grey-cheeked Bulbul,LC,VU,G,2020-3
Amazilia luciae,Honduran Emerald,EN,VU,N,2020-3
Amazona agilis,Black-billed Amazon,VU,EN,G,2020-3
Amazona diadema,Diademed Amazon,EN,LC,N,2020-3
Amazona lilacina,Lilacine Amazon,EN,CR,N,2020-3
Anas nesiotis,Campbell Teal,EN,VU,G,2020-3
Anumara forbesi,Forbes's Blackbird,EN,VU,N,2020-3
Apalis kaboboensis,Kabobo Apalis,NT,VU,N,2020-3
Apalis lynesi,Namuli Apalis,NT,EN,G,2020-3
Ara ambiguus,Great Green Macaw,EN,CR,N,2020-3
Argusianus argus,Great Argus,NT,VU,N,2020-3
Atlapetes flaviceps,Yellow-headed Brush-finch,EN,NT,N,2020-3
Bangsia aureocincta,Gold-ringed Tanager,EN,VU,N,2020-3
Bradypterus bangwaensis,Bangwa Warbler,NT,LC,N,2020-3
Cacicus koepckeae,Selva Cacique,EN,NT,N,2020-3
Campylopterus phainopeplus,Santa Marta Sabrewing,EN,CR,N,2020-3
Capito quinticolor,Five-colored Barbet,VU,NT,N,2020-3
Capito squamatus,Orange-fronted Barbet,NT,LC,N,2020-3
Cardellina versicolor,Pink-headed Warbler,VU,LC,N,2020-3
Caryothraustes erythromelas,Red-and-black Grosbeak,NT,LC,N,2020-3
Cercomacra ferdinandi,Bananal Antbird,VU,NT,N,2020-3
Chaetocercus berlepschi,Esmeraldas Woodstar,EN,VU,N,2020-3
Charadrius bicinctus,Double-banded Plover,LC,NT,N,2020-3
Chersophilus duponti,Dupont's Lark,NT,VU,G,2020-3
Ciconia episcopus,Asian Woollyneck,VU,NT,N,2020-3
Cleptornis marchei,Golden White-eye,CR,EN,N,2020-3
Clibanornis erythrocephalus,Henna-hooded Foliage-gleaner,VU,NT,N,2020-3
Clibanornis rufipectus,Santa Marta Foliage-gleaner,NT,VU,N,2020-3
Coeligena consita,Perija Starfrontlet,VU,EN,N,2020-3
Coeligena orina,Glittering Starfrontlet,CR,EN,N,2020-3
Conirostrum tamarugense,Tamarugo Conebill,VU,LC,N,2020-3
Corvus jamaicensis,Jamaican Crow,LC,NT,N,2020-3
Cracticus louisiadensis,Tagula Butcherbird,DD,NT,N,2020-3
Cranioleuca dissita,Coiba Spinetail,NT,LC,N,2020-3
Cranioleuca marcapatae,Marcapata Spinetail,VU,LC,N,2020-3
Cranioleuca weskei,Vilcabamba Spinetail,NT,LC,N,2020-3
Crossleyia tenebrosa,Dusky Tetraka,VU,DD,N,2020-3
Cryptoleucopteryx plumbea,Plumbeous Hawk,VU,NT,N,2020-3
Crypturellus atrocapillus,Black-capped Tinamou,NT,LC,N,2020-3
Crypturellus duidae,Grey-legged Tinamou,NT,LC,N,2020-3
Ducula oceanica,Micronesian Imperial-pigeon,NT,VU,N,2020-3
Dysithamnus leucostictus,White-streaked Antvireo,VU,LC,N,2020-3
Edolisoma dispar,Kai Cicadabird,NT,LC,N,2020-3
Eriocnemis nigrivestis,Black-breasted Puffleg,CR,EN,N,2020-3
Erythrura coloria,Red-eared Parrotfinch,NT,LC,N,2020-3
Eubucco steerii,Blue-cowled Barbet,NT,LC,N,2020-3
Eudyptes pachyrhynchus,Fiordland Penguin,VU,NT,N,2020-3
Eupsittula canicularis,Orange-fronted Parakeet,LC,VU,G,2020-3
Geokichla interpres,Chestnut-capped Thrush,NT,EN,G,2020-3
Geothlypis speciosa,Black-polled Yellowthroat,EN,VU,N,2020-3
Gorsachius goisagi,Japanese Night-heron,EN,VU,N,2020-3
Grallaria carrikeri,Pale-billed Antpitta,NT,LC,N,2020-3
Grus nigricollis,Black-necked Crane,VU,NT,G,2020-3
Hylocichla mustelina,Wood Thrush,NT,LC,G,2020-3
Icterus laudabilis,St Lucia Oriole,NT,EN,N,2020-3
Jacamaralcyon tridactyla,Three-toed Jacamar,VU,NT,N,2020-3
Larus audouinii,Audouin's Gull,LC,VU,G,2020-3
Larus bulleri,Black-billed Gull,EN,NT,N,2020-3
Leptosittaca branickii,Golden-plumed Parakeet,VU,LC,N,2020-3
Leptotila conoveri,Tolima Dove,EN,NT,N,2020-3
Lophura ignita,Bornean Crested Fireback,NT,VU,N,2020-3
Lophura rufa,Malay Crested Fireback,NT,VU,N,2020-3
Malacoptila striata,Greater Crescent-chested Puffbird,NT,LC,N,2020-3
Megascops barbarus,Bearded Screech-owl,VU,LC,N,2020-3
Melozone cabanisi,Costa Rican Ground-sparrow,LC,NT,N,2020-3
Microptilotis vicina,Tagula Honeyeater,DD,LC,N,2020-3
Milvus milvus,Red Kite,NT,LC,G,2020-3
Mimus melanotis,San Cristobal Mockingbird,EN,NT,N,2020-3
Myrmoborus lophotes,White-lined Antbird,NT,LC,N,2020-3
Nannopsittaca dachilleae,Amazonian Parrotlet,NT,LC,N,2020-3
Nothocercus nigrocapillus,Hooded Tinamou,VU,LC,N,2020-3
Numenius tahitiensis,Bristle-thighed Curlew,VU,NT,N,2020-3
Ochthoeca piurae,Piura Chat-tyrant,NT,LC,N,2020-3
Ocyceros griseus,Malabar Grey Hornbill,LC,VU,G,2020-3
Odontophorus hyperythrus,Chestnut Wood-quail,NT,LC,N,2020-3
Ognorhynchus icterotis,Yellow-eared Parrot,EN,VU,G,2020-3
Oriolus cruentus,Javan Oriole,LC,DD,N,2020-3
Pelecanoides garnotii,Peruvian Diving-petrel,EN,NT,N,2020-3
Phacellodomus dorsalis,Chestnut-backed Thornbird,VU,NT,N,2020-3
Phoenicurus bicolor,Luzon Water-redstart,VU,NT,N,2020-3
Phylloscartes difficilis,Serra do Mar Tyrannulet,NT,LC,N,2020-3
Picus sharpei,Iberian Green Woodpecker,NT,LC,N,2020-3
Piprites pileata,Black-capped Piprites,VU,NT,N,2020-3
Podiceps taczanowskii,Junin Grebe,CR,EN,G,2020-3
Polemaetus bellicosus,Martial Eagle,VU,EN,G,2020-3
Poospiza goeringi,Slaty-backed Hemispingus,VU,NT,N,2020-3
Procnias nudicollis,Bare-throated Bellbird,VU,NT,N,2020-3
Progne murphyi,Peruvian Martin,VU,NT,N,2020-3
Pseudosaltator rufiventris,Rufous-bellied Mountain-tanager,NT,LC,N,2020-3
Pycnonotus snouckaerti,Aceh Bulbul,VU,EN,N,2020-3
Pyrrhura rupicola,Black-capped Parakeet,NT,LC,N,2020-3
Rhyticeros everetti,Sumba Hornbill,VU,EN,N,2020-3
Rhyticeros narcondami,Narcondam Hornbill,EN,VU,G,2020-3
Rynchops albicollis,Indian Skimmer,VU,EN,G,2020-3
Sagittarius serpentarius,Secretarybird,VU,EN,G,2020-3
Saltator cinctus,Masked Saltator,NT,LC,N,2020-3
Setophaga flavescens,Bahama Warbler,NT,EN,G,2020-3
Setophaga subita,Barbuda Warbler,NT,VU,N,2020-3
Snowornis subalaris,Grey-tailed Piha,NT,LC,N,2020-3
Spelaeornis chocolatinus,Naga Wren-babbler,NT,VU,N,2020-3
Spheniscus magellanicus,Magellanic Penguin,NT,LC,N,2020-3
Sterna aurantia,River Tern,NT,VU,G,2020-3
Tangara cabanisi,Azure-rumped Tanager,EN,VU,N,2020-3
Tangara phillipsi,Sira Tanager,NT,LC,N,2020-3
Terathopius ecaudatus,Bateleur,NT,EN,G,2020-3
Terpsiphone corvina,Seychelles Paradise-flycatcher,CR,VU,G,2020-3
Thamnophilus shumbae,Maranon Antshrike,DD,VU,N,2020-3
Trichoglossus forsteni,Scarlet-breasted Lorikeet,VU,EN,G,2020-3
Tympanuchus cupido,Greater Prairie-chicken,VU,NT,N,2020-3
Vultur gryphus,Andean Condor,NT,VU,N,2020-3
Xenoglaux loweryi,Long-whiskered Owlet,EN,VU,N,2020-3
Xenornis setifrons,Spiny-faced Antshrike,VU,NT,N,2020-3
Zenaida galapagoensis,Galapagos Dove,LC,NT,G,2020-3
Zosterops meeki,Tagula White-eye,DD,NT,N,2020-3
"",,,,,
REPTILES (Reptilia),,,,,
Afroedura major,Swazi Flat Gecko,NT,LC,N,2020-3
Anolis amplisquamosus,,EN,CR,N,2020-3
Anolis fortunensis,,DD,LC,N,2020-3
Anolis koopmani,Brown Red-bellied Anole,EN,CR,N,2020-3
Anolis lineatus,Striped Anole,LC,NT,N,2020-3
Anolis marron,Jacmel Gracile Anole,EN,LC,N,2020-3
Anolis muralla,,VU,CR,G,2020-3
Anolis oculatus,Dominica Anole,LC,NT,N,2020-3
Anolis pogus,St Martin Anole,VU,NT,N,2020-3
Anolis sminthus,Mouse Anole,DD,EN,N,2020-3
Anolis spectrum,Ghost Anole,NT,VU,N,2020-3
Anolis ventrimaculatus,Speckled Anole,NT,LC,N,2020-3
Apostolepis goiasensis,Goias Burrowing Snake,DD,LC,N,2020-3
Chelodina parkeri,Parker's Snake-necked Turtle,VU,NT,N,2020-1
Chelodina pritchardi,Pritchard's Snake-necked Turtle,EN,VU,N,2020-1
Ctenosaura flavidorsalis,Yellow-backed Spiny-tailed Iguana,EN,NT,N,2020-2
Ctenosaura quinquecarinata,Five-keeled Spiny-tailed Iguana,EN,DD,N,2020-2
Cuora amboinensis,Southeast Asian Box Turtle,VU,EN,G,2020-2
Cyclura carinata,Turks and Caicos Rock Iguana,CR,EN,G,2020-2
Cyclura stejnegeri,Mona Rhinoceros Iguana,EN,CR,N,2020-2
Ichnotropis grandiceps,Caprivi Rough-scaled Lizard,DD,LC,N,2020-3
Liotyphlops argaleus,,LC,DD,N,2020-3
Lygophis elegantissimus,,LC,VU,G,2020-3
Melanochelys tricarinata,Tricarinate Hill Turtle,VU,EN,G,2020-2
Melanochelys trijuga,Indian Black Turtle,LR/nt,LC,N,2020-2
Namazonurus campbelli,Campbell’s Girdled Lizard,DD,LC,N,2020-3
Namibiana rostrata,Angolan Beaked Thread Snake,DD,LC,N,2020-3
Nucras scalaris,Scaled Sandveld Lizard,DD,LC,N,2020-3
Orlitia borneensis,Malaysian Giant Turtle,EN,CR,G,2020-2
Pachydactylus tsodiloensis,Tsodilo Thick-toed Gecko,NT,LC,N,2020-3
Pristidactylus torquatus,,LC,VU,N,2020-3
"",,,,,
AMPHIBIANS (Amphibia),,,,,
Acanthixalus sonjae,Ivory Coast Wart Frog,NT,VU,N,2020-3
Adenomera coca,,DD,LC,N,2020-3
Adenomus kandianus,,CR,EN,N,2020-3
Adenomus kelaartii,Kelaart's Toad,EN,VU,N,2020-3
Agalychnis annae,Blue-sided Treefrog,EN,VU,G,2020-3
Agalychnis medinae,Rancho Grande Leaf Frog,DD,EN,N,2020-3
Allobates bromelicola,Sapito Niñera Bromelicola,DD,VU,N,2020-2
Allobates caribe,Caribbean Nurse Frog,DD,CR,N,2020-3
Allobates humilis,Sapito Niñera Humilde,VU,EN,N,2020-3
Allobates mcdiarmidi,,NT,CR(PE),G,2020-3
Allobates undulatus,,DD,VU,N,2020-3
Alytes cisternasii,Iberian Midwife Toad,NT,LC,N,2020-3
Alytes muletensis,Mallorcan Midwife Toad,VU,EN,N,2020-3
Ambystoma bombypellum,Delicateskin Salamander,CR,DD,N,2020-2
Ambystoma granulosum,Granular Salamander,CR,EN,N,2020-2
Ambystoma rivulare,Michoacan Stream Salamander,DD,EN,N,2020-2
Ameerega boehmei,Boehmei's Poison Arrow Frog,LC,EN,G,2020-3
Ameerega boliviana,Bolivian Poison-Arrow Frog,LC,NT,G,2020-3
Amolops aniqiaoensis,Aniqiao Torrent Frog,DD,VU,N,2020-2
Amolops caelumnoctis,,DD,LC,N,2020-1
Amolops jinjiangensis,,VU,LC,N,2020-1
Amolops lifanensis,,NT,LC,N,2020-1
Amolops medogensis,Medog Torrent Frog,DD,EN,N,2020-2
Amolops xinduqiao,,VU,LC,N,2020-1
Anaxyrus mexicanus,Mexican Spadefoot Toad,NT,LC,N,2020-3
Anomaloglossus ayarzaguenai,Sapito Niñera de Ayarzagüena,DD,VU,N,2020-3
Anomaloglossus breweri,,VU,NT,N,2020-3
Anomaloglossus guanayensis,Sapito Niñera de Guanay,DD,NT,N,2020-3
Anomaloglossus rufulus,Sira Poison Frog,DD,NT,N,2020-3
