Podocarpus atjehensis,,DD,NT,N,2007
Podocarpus barretoi,,DD,NT,N,2007
Podocarpus borneensis,,DD,LC,N,2007
Podocarpus capuronii,,DD,EN,N,2007
Podocarpus costaricensis,,DD,VU,N,2007
Podocarpus deflexus,,DD,EN,N,2007
Podocarpus dispermus,,DD,NT,N,2007
Podocarpus globulus,,DD,EN,N,2007
Podocarpus guatemalensis,,DD,LC,N,2007
Podocarpus humbertii,,DD,EN,N,2007
Podocarpus lambertii,,DD,NT,N,2007
Podocarpus laubenfelsii,,DD,EN,N,2007
Podocarpus longifoliolatus,,LR/lc,EN,N,2007
Podocarpus  matudae,,DD,NT,N,2007
Podocarpus  palawanensis,,DD,CR,N,2007
Podocarpus  pallidus,,DD,VU,N,2007
Podocarpus  pendulifolius,,DD,EN,N,2007
Podocarpus  perrieri,,DD,CR,N,2007
