Scientific name,Common name,"IUCN Red List(2009)Category","IUCN RedList (2010)Category","Reason forchange","Red Listversion"
Prodasineura odzalae,,DD,LC,N,2010
Pseudagrion fisheri,Fisher's Sprite,DD,LC,N,2010
Pseudagrion greeni,,DD,LC,N,2010
Pseudagrion symoensii,,DD,NT,N,2010
Pyrrhosoma elisabethae,Greek Red Damsel,VU,CR,N,2010
Somatochlora borisi,Bulgarian Emerald,NT,VU,N,2010
Stenocnemis pachystigma,,VU,LC,N,2010
Sympetrum nigrifemur,Island Darter,EN,LC,N,2010
Tetrathemis denticauda,,CR,DD,N,2010
Tetrathemis ruwensoriensis,,CR,DD,N,2010
Thermochoria jeanneli,,NT,LC,N,2010
Tragogomphus aurivillii,,DD,LC,N,2010
Trithemis aequalis,,DD,NT,N,2010
Trithemis brydeni,,DD,NT,N,2010
Umma purpurea,,EN,VU,N,2010
BUTTERFLIES and MOTHS,,,,,
Hipparchia azorina,Azores Grayling,VU,LC,N,2010
Hipparchia maderensis,Madeira Grayling,VU,LC,N,2010
Papilio hospiton,Corsican Swallowtail,EN,LC,N,2010
Pieris cheiranthi,Canary Islands Large White,VU,EN,N,2010
Plebejus trappi,Alpine Zephyr Blue,VU,NT,N,2010
Polyommatus galloi,Higgin's Anomalous Blue,EN,VU,N,2010
Polyommatus golgus,Sierra Nevada Blue,EN,VU,N,2010
Polyommatus humedasae,Piedmont Anomalous Blue,CR,EN,N,2010
Pseudochazara euxina,,VU,EN,N,2010
BEETLES,,,,,
Buprestis splendens,Goldstreifiger,VU,EN,N,2010
Cucujus cinnaberinus,,VU,NT,G,2010
Osmoderma eremita,Hermit Beetle,VU,NT,N,2010
MOLLUSCS,,,,,
Alzoniella hartwigschuetti,,VU,NT,N,2010
Alzoniella pyrenaica,,VY,DD,N,2010
Anceya giraudi,,LC,LC,N,2010
Anceya terebriformis,,EN,DD,N,2010
Ancylus ashangiensis,,EN,CR,N,2010
Ancylus regularis,,LR/nt,DD,N,2010
Aspatharia subreniformis,,VU,DD,N,2010
Avenionia brevis,,DD,LC,N,2010
Bathanalia straeleni,,LC,LC,N,2010
Belgrandiella wawrai,,CR,EN,N,2010
Bellamya constricta,,EN,LC,N,2010
Bellamya costulata,,NT,NT,N,2010
Bellamya ecclesi,,DD,DD,N,2010
Bellamya jucunda,,VU,NT,N,2010
Bellamya leopoldvillensis,,EN,DD,N,2010
Bellamya mweruensis,,EN,CR,G,2010
Bellamya pagodiformis,,EN,CR,G,2010
Bellamya rubicunda,,EN,NT,N,2010
Bellamya trochlearis,,EN,DD,N,2010
Biomphalaria angulosa,,LC,LC,N,2010
Biomphalaria barthi,,CR,DD,N,2010
Biomphalaria salinarum,,DD,DD,N,2010
Biomphalaria tchadiensis,,EN,EN,G,2010
Bridouxia giraudi,,LC,LC,N,2010
Bridouxia leucoraphe,,LC,LC,N,2010
Bridouxia ponsonbyi,,NT,NT,N,2010
Bridouxia praeclara,,NT,NT,N,2010
Bulinus barthi,,DD,DD,N,2010
Bulinus browni,,LR/nt,DD,N,2010
Bulinus camerunensis,,VU,EN,N,2010
Bulinus hexaploidus,,LR/nt,DD,N,2010
Bulinus transversalis,,VU,DD,N,2010
Burnupia crassistriata,,VU,NT,N,2010
Burnupia stuhlmanni,,VU,NT,N,2010
Bythinella carinulata,,LR/nt,EN,N,2010
Bythinella cylindrica,,VU,CR,G,2010
Bythinella pupoides,,LR/nt,LC,N,2010
Bythiospeum articense,,VU,LC,N,2010
Bythiospeum bourguignati,,VU,LC,N,2010
Bythiospeum diaphanum,,LR/lc,NT,N,2010
Bythiospeum elseri,,LR/nt,EN,N,2010
Bythiospeum garnieri,,VU,LC,N,2010
Bythiospeum geyeri,,EN,VU,N,2010
Bythiospeum klemmi,,VU,EN,N,2010
Bythiospeum pfeifferi,,EN,CR,N,2010
Bythiospeum tschapecki,,EN,CR,N,2010
Ceratophallus socotrensis,,CR,DD,N,2010
Cleopatra smithi,,DD,LC,N,2010
Hauffenia danubialis,,EN,VU,N,2010
Hirthia globosa,,LC,LC,N,2010
Iglica gratulabunda,,DD,CR(PE),N,2010
Iglica kleinzellensis,,EN,VU,N,2010
Islamia minuta,,DD,LC,N,2010
Lanistes bicarinatus,,VU,LC,N,2010
Lanistes ciliatus,,LR/nt,VU,N,2010
Lanistes farleri,,EN,VU,N,2010
Lanistes nasutus,,EN,DD,N,2010
Lanistes stuhlmanni,,EN,NT,N,2010
Lavigera grandis,,LC,LC,N,2010
Lavigera nassa,,LC,LC,N,2010
Limnotrochus thomsoni,,LC,LC,N,2010
Martelia tanganyicensis,,EN,DD,N,2010
Melanoides angolensis,,LC,DD,N,2010
Melanopsis etrusca,,VU,EN,G,2010
Moitessieria locardi,,VU,LC,N,2010
Mysorelloides multisulcata,,LC,LC,N,2010
Neothauma tanganyicense,,LC,LC,N,2010
Neritina cristata,,DD,LC,N,2010
Neritina manoeli,,LR/nt,LC,N,2010
Neritina natalensis,,DD,NT,N,2010
Neritina oweniana,,DD,LC,N,2010
Neritina rubricata,,DD,NT,N,2010
Paladilhia pleurotoma,,VU,LC,N,2010
Paramelania damoni,,LC,LC,N,2010
Pila occidentalis,,LC,LC,N,2010
Pila speciosa,,VU,DD,N,2010
Reymondia horei,,LC,LC,N,2010
Reymondia pyramidalis,,DD,DD,N,2010
Reymondia tanganyicensis,,VU,VU,N,2010
Spekia coheni,,NT,LC,N,2010
Spekia zonata,,LC,LC,N,2010
Sphaerium bequaerti,,DD,LC,N,2010
Spiralix corsica,,VU,CR,N,2010
Spiralix rayi,,LR/nt,LC,N,2010
Stanleya neritinoides,,EN,DD,N,2010
Stormsia minima,,LC,LC,N,2010
Syrnolopsis gracilis,,LC,LC,N,2010
Syrnolopsis lacustris,,LC,LC,N,2010
Syrnolopsis minuta,,LC,LC,N,2010
Tanganyicia rufofilosa,,NT,NT,N,2010
Theodoxus numidicus,,DD,VU,N,2010
Tiphobia horei,,LC,LC,N,2010
Tricula montana,,EN,LC,N,2010
CRAYFISHES, CRABS, LOBSTERS, etc.,,,,,
Cambarellus blacki,Cypress Crayfish,EN,DD,N,2010
Cambarellus diminutus,Least Crayfish,VU,DD,N,2010
Cambarus aculabrum,Benton County Cave Crayfish,EN,CR,N,2010
Cambarus batchi,Bluegrass Crayfish,VU,LC,N,2010
Cambarus chaugaensis,Chauga River Crayfish,VU,LC,N,2010
Cambarus coosawattae,Coosawattee Crayfish,VU,NT,N,2010
Cambarus cymatilis,Conasauga Blue Burrower,VU,EN,G,2010
Cambarus miltus,Rusty Grave Digger,VU,LC,N,2010
Cambarus obeyensis,Obey Crayfish,VU,CR,G,2010
Cambarus pristinus,Pristine Crayfish,VU,DD,N,2010
Cambarus speciosus,Beautiful Crayfish,VU,NT,N,2010
Cambarus spicatus,Broad River Spiny Crayfish,VU,DD,N,2010
Cambarus truncatus,Oconee Burrowing Crayfish,EN,NT,N,2010
Cambarus williami,Brawleys Fork Crayfish,EN,NT,N,2010
Cherax quadricarinatus,Tropical Blue Crayfish,VU,LC,N,2010
Cherax tenuimanus,Hairy Marron,VU,CR,G,2010
Engaeus curvisuturus,,EN,DD,N,2010
Engaeus granulatus,Central North Burrowing Crayfish,EN,CR,G,2010
Engaeus mallacoota,Mallacoota Burrowing Crayfish,EN,CR,N,2010
Engaeus nulloporius,,EN,DD,N,2010
Engaeus phyllocercus,Narracan Burrowing Crayfish,VU,EN,N,2010
Engaeus spinicaudatus,Scottsdale Burrowing Crayfish,EN,CR,G,2010
Engaeus sternalis,Warragul Burrowing Crayfish,EN,CR,G,2010
Engaewa similis,,EN,LC,G,2010
Euastacus armatus,Murray River Crayfish,VU,DD,N,2010
Euastacus bindal,,EN,CR,G,2010
Euastacus fleckeri,,VU,EN,G,2010
Euastacus jagara,,EN,CR,N,2010
Euastacus maidae,,EN,CR,G,2010
Euastacus monteithorum,,EN,CR,N,2010
Euastacus neodiversus,,VU,EN,G,2010
Euastacus robertsi,,EN,CR,N,2010
Euastacus setosus,,VU,CR,N,2010
Euastacus yigara,,EN,CR,G,2010
Fallicambarus hortoni,Hatchie Burrowing Crayfish,EN,CR,N,2010
Fallicambarus strawni,Saline Burrowing Crayfish,VU,LC,N,2010
Hobbseus orconectoides,Oktibbeha Riverlet Crayfish,VU,EN,G,2010
Hobbseus valleculus,Choctaw Riverlet Crayfish,VU,EN,G,2010
Hobbseus yalobushensis,Yalobusha Riverlet Crayfish,VU,EN,N,2010
Orconectes cooperi,Flint River Crayfish,VU,LC,N,2010
Orconectes deanae,Conchas Crayfish,VU,LC,N,2010
Orconectes jeffersoni,Louisville Crayfish,VU,EN,G,2010
Orconectes marchandi,Mammoth Spring Crayfish,VU,NT,N,2010
Orconectes packardi,Cave Crayfish,VU,EN,N,2010
Orconectes saxatilis,Kiamichi Crayfish,CR,VU,N,2010
Orconectes sloanii,Sloan's Crayfish,VU,LC,N,2010
Pacifastacus nigrescens,Sooty Crayfish,CR,EX,N,2010
Procambarus apalachicolae,Coastal Flatwoods Crayfish,VU,EN,G,2010
Procambarus barbiger,Jackson Prairie Crayfish,VU,DD,N,2010
Procambarus connus,Carrollton Crayfish,VU,DD,N,2010
Procambarus fitzpatricki,Spinytail Crayfish,VU,LC,N,2010
Procambarus lagniappe,Lagniappe Crayfish,VU,NT,N,2010
Procambarus pogum,Bearded Red Crayfish,VU,DD,N,2010
Procambarus steigmani,Parkhill Prairie Crayfish,CR,DD,N,2010
FERNS & allies,,,,,
Anogramma ascensionis,,EX,CR,N,2010
CONIFERS,,,,,
Agathis lanceolata,,LR/cd,VU,G,2010
Agathis ovata,,LR/cd,EN,G,2010
Araucaria bernieri,,LR/cd,VU,N,2010
Araucaria biramulata,,LR/cd,VU,G,2010
Araucaria humboldtensis,,LR/cd,EN,G,2010
Araucaria montana,,LR/lc,VU,G,2010
Araucaria muelleri,,LR/cd,EN,G,2010
Libocedrus yateensis,,VU,EN,G,2010
Neocallitropsis pancheri,,VU,EN,G,2010
Parasitaxus ustus,,LR/nt,VU,G,2010
Podocarpus decumbens,,VU,CR,G,2010
Podocarpus polyspermus,,VU,EN,G,2010
CYCADS,,,,,
Ceratozamia latifolia,,VU,EN,G,2010
Ceratozamia miqueliana,,VU,CR,G,2010
Ceratozamia mixeorum,,DD,EN,N,2010
Ceratozamia norstogii,,CR,EN,N,2010
Ceratozamia robusta,,VU,EN,G,2010
Cycas aculeata,,EN,VU,N,2010
Cycas armstrongii,,LC,VU,G,2010
Cycas circinalis,,DD,EN,N,2010
Cycas conferta,,VU,NT,N,2010
Cycas curranii,Curran’s Pitogo,DD,CR(PE),N,2010
Cycas dolichophylla,,VU,NT,N,2010
