Scientific name,Common name,"IUCN Red List(2007)Category","IUCN RedList (2008)Category",Reason for change,"Red Listversion"
Astrochelys radiata,Radiated Tortoise,VU,CR,G,2008
Astrochelys yniphora,Ploughshare Tortoise,EN,CR,G,2008
Pyxis arachnoides,Spider Tortoise,VU,CR,G,2008
Pyxis planicauda,Flat-tailed Tortoise,EN,CR,G,2008
AMPHIBIANS,,,,,
Thorius macdougalli,,EN,VU,G,2008
Incilius holdridgei,,CR,EX,G,2008
Centrolene buckleyi,,NT,VU,G,2008
Craugastor escoces,,CR,EX,G,2008
Parvimolge townsendi,,EN,CR,G,2008
Pseudoeurycea gigantea,,EN,CR,G,2008
Pseudoeurycea juarezi,,EN,CR,G,2008
Thorius munificus,,EN,CR,G,2008
INVERTEBRATES,,,,,
Hemiphlebia mirabilis,Ancient Greenling,VU,EN,G,2008
