Scientific name,Common name,"IUCN Red List(2010)Category","IUCN RedList (2011)Category","Reason forchange","Red Listversion"
Abies ziyuanensis,Ziyuan Fir,CR,EN,N,2011.2
Glyptostrobus pensilis,,EN,CR,G,2011.2
Juniperus brevifolia,,EN,VU,N,2011.1
Picea koyamae,Koyama's Spruce,EN,CR,N,2011.2
Picea omorika,Serbian Spruce,VU,EN,N,2011.2
Pinus longaeva,,VU,LC,N,2011.2
Taxus contorta,,VU,EN,G,2011.2
Taxus wallichiana,,DD,EN,N,2011.2
Tetraclinis articulata,,LR/nt,LC,N,2011.2
Thuja koraiensis,,DD,VU,N,2011.2
