Scientific name,Common name,"IUCN Red List(2017)Category","IUCN RedList (2018)Category","Reason forchange","Red Listversion"
Furina dunmalli,Dunmall's Snake,VU,DD,N,2018-1
Gekko badenii,,DD,EN,N,2018-2
Goggia braacki,Braack's Pygmy Gecko,NT,LC,N,2018-2
Goggia gemmula,Richtersveld Pygmy Gecko,NT,LC,N,2018-2
Gonocephalus abbotti,Abbott’s Anglehead Lizard,DD,LC,N,2018-2
Gopherus flavomarginatus,Bolson Tortoise,VU,CR,G,2018-2
Homopholis mulleri,Muller's Velvet Gecko,VU,LC,N,2018-2
Homoroselaps dorsalis,Striped Harlequin Snake,NT,LC,N,2018-2
Iguana delicatissima,Lesser Antillean Iguana,EN,CR,G,2018-1
Isopachys gyldenstolpei,Gyldenstolpe's Worm Skink,DD,LC,N,2018-2
Isopachys roulei,Chonburi Snake Skink,DD,LC,N,2018-2
Kinixys lobatsiana,Lobatse Hinged Tortoise,LC,VU,N,2018-2
Kinixys natalensis,KwaZulu-Natal Hinged-back Tortoise,LR/nt,VU,N,2018-2
Larutia miodactyla,Single Finger Larut Skink,LC,VU,G,2018-2
Leptotyphlops sylvicolus,Forest Thread Snake,DD,LC,N,2018-2
Lerista vittata,Mount Cooper Striped Lerista,EN,CR,N,2018-1
Lycophidion pygmaeum,Pygmy Wolf Snake,NT,LC,N,2018-2
Lygodactylus graniticolus,Granite Dwarf Gecko,NT,LC,N,2018-2
Lygodactylus incognitus,Cryptic Dwarf Gecko,DD,LC,N,2018-2
Lygodactylus methueni,Methuen's Dwarf Gecko,VU,DD,N,2018-2
Lygodactylus montiscaeruli,Makgabeng Dwarf Gecko,DD,LC,N,2018-2
Lygodactylus soutpansbergensis,Soutpansberg Dwarf Gecko,NT,LC,N,2018-2
Lygodactylus waterbergensis,Waterberg Dwarf Gecko,NT,LC,N,2018-2
Macrelaps microlepidotus,Natal Black Snake,NT,LC,N,2018-2
Menetia concinna,Jabiluka Dwarf Skink,DD,LC,N,2018-1
Nephrurus deleani,Pernatty Knob-tail,EN,LC,N,2018-1
Nucras taeniolata,Albany Sandveld Lizard,NT,LC,N,2018-2
Ophidiocephalus taeniatus,Bronzeback,VU,LC,N,2018-1
Orraya occultus,Long-necked Northern Leaf-tailed Gecko,DD,VU,N,2018-1
Paradelma orientalis,Brigalow Scaly-foot,VU,LC,N,2018-1
Phelsuma guentheri,Round Island Day Gecko,EN,VU,G,2018-2
Phyllurus gulbaru,,CR,EN,N,2018-1
Platysaurus monotropis,Orange-throated Flat Lizard,EN,NT,N,2018-2
Psammobates tentorius,Tent Tortoise,LC,NT,G,2018-2
Psammophis leightoni,Cape Sand Snake,VU,LC,N,2018-2
Pseudocalotes dringi,,DD,LC,N,2018-2
Pseudocordylus langi,Lang's Crag Lizard,NT,LC,N,2018-2
Pseudocordylus spinosus,Spiny Crag Lizard,NT,LC,N,2018-2
Pseudocordylus transvaalensis,Northern Crag Lizard,NT,LC,N,2018-2
Ptychozoon horsfieldii,Horsfield's Flying Gecko,DD,LC,N,2018-2
Scelotes gronovii,Gronovi's Dwarf Burrowing Skink,NT,LC,N,2018-2
Scincella punctatolineata,Burma Smooth Skink,DD,LC,N,2018-2
Sphenomorphus tritaeniatus,,DD,NT,N,2018-2
Strophurus taenicauda,Golden Spiny-tailed Gecko,NT,LC,N,2018-1
Takydromus hani,South-east Asian Green Grass Lizard,DD,LC,N,2018-2
Tetradactylus breyeri,Breyer's Long-tailed Seps,VU,LC,N,2018-2
Tropidosaura cottrelli,Cottrell's Mountain Lizard,NT,LC,N,2018-2
Tympanocryptis pinguicolla,Grassland Earless Dragon,VU,EN,G,2018-1
