Scientific name,Common name,"IUCN Red List(2021)Category","IUCN RedList (2022)Category","Reason forchange","Red Listversion"
"",,,,,
MAMMALS (Mammalia),,,,,
Scelotes gronovii,Gronovi's Dwarf Burrowing Skink,LC,NT,G,2022-1
Scelotes kasneri,Kasner's Dwarf Burrowing Skink,NT,EN,G,2022-1
Tetradactylus fitzsimonsi,FitzSimons' Long-tailed Seps,VU,LC,N,2022-1
Trachylepis laevigata,Striped Variable Skink,DD,LC,N,2022-1
Typhlosaurus lomiae,Lomi's Blind Legless Skink,LC,NT,G,2022-1
"",,,,,
AMPHIBIANS (Amphibia),,,,,
Alcalus tasanae,Tasan Eastern Frog,VU,LC,N,2022-1
Allobates fratisenescus,Mera Rocket Frog,DD,VU,N,2022-1
Alytes dickhilleni,Betic Midwife Toad,VU,EN,G,2022-1
Atelopus longirostris,Longnose Harlequin Frog,EX,CR,N,2022-1
Bolitoglossa chica,Hotel Zaracay Salamander,VU,CR,G,2022-1
Caecilia abitaguae,Abitagua Caecilian,DD,EN,N,2022-1
Calotriton asper,Pyrenean Brook Salamander,NT,LC,N,2022-1
Centrolene condor,El Cóndor Glass Frog,DD,EN,N,2022-1
Centrolene sanchezi,Sanchez's Giant Glass Frog,DD,EN,N,2022-1
Chioglossa lusitanica,Golden-striped Salamander,VU,NT,N,2022-1
Ctenophryne aequatorialis,Cuenca Nelson Frog,LC,EN,N,2022-1
Eleutherodactylus alcoae,Barahona Rock Frog,EN,LC,N,2022-1
Eleutherodactylus auriculatoides,Northern Hammer Frog,EN,VU,N,2022-1
Eleutherodactylus diplasius,Patternless Whistling Frog,EN,CR,N,2022-1
Eleutherodactylus inoptatus,Hispaniolan Giant Frog,LC,NT,G,2022-1
Eleutherodactylus leoncei,Southern Pastel Frog,CR,EN,N,2022-1
Eleutherodactylus parabates,Neiba Whistling Frog,CR,EN,N,2022-1
Eleutherodactylus pictissimus,Hispaniolan Yellow-mottled Frog,VU,LC,N,2022-1
Eleutherodactylus rufifemoralis,Baoruco Red-legged Frog,CR,EN,N,2022-1
Euproctus platycephalus,Sardinian Brook Salamander,EN,VU,N,2022-1
Hyloscirtus alytolylax,Tadapi Treefrog,NT,LC,N,2022-1
Leptobrachella bourreti,Bourret's Asian Toad,DD,VU,N,2022-1
Leptobrachella ventripunctata,Speckle-bellied Metacarpal-tubercled Toad,DD,LC,N,2022-1
Niceforonia peraccai,Peracca's Andes Frog,DD,EN,N,2022-1
Nidirana lini,East China Music Frog,DD,LC,N,2022-1
Nymphargus siren,Siren Glassfrog,VU,EN,G,2022-1
Paruwrobates erythromos,Palenque Poison Frog,DD,CR,N,2022-1
Peltophryne guentheri,Southern Hispaniola Crestless Toad,VU,LC,N,2022-1
