Scientific name,Common name,"IUCN Red List(2012)Category","IUCN RedList (2013)Category","Reason forchange","Red Listversion"
Meda fulgida,Spikedace,VU,EN,N,2013.1
Moxostoma ariommum,Bigeye Jumprock,DD,LC,N,2013.1
Moxostoma congestum,Gray Redhorse,DD,LC,N,2013.1
Notropis cahabae,Cahaba Shiner,CR,EN,N,2013.1
Notropis mekistocholas,Cape Fear Shiner,CR,EN,N,2013.1
Notropis oxyrhynchus,Sharpnose Shiner,DD,VU,N,2013.1
Notropis perpallidus,Peppered Shiner,NT,VU,N,2013.1
Noturus baileyi,Smoky Madtom,CR,VU,N,2013.1
Noturus gilberti,Orangefin Madtom,VU,EN,N,2013.1
Noturus munitus,Frecklebelly Madtom,NT,VU,N,2013.1
Noturus stanauli,Pygmy Madtom,VU,EN,N,2013.1
Noturus taylori,Caddo Madtom,VU,EN,G,2013.1
Noturus trautmani,Scioto Madtom,CR,EX,N,2013.1
Novumbra hubbsi,Olympic Mudminnow,NT,LC,N,2013.1
Oregonichthys crameri,Oregon Chub,VU,LC,G,2013.1
Oregonichthys kalawatseti,Umpqua Chub,NT,VU,N,2013.1
Percina antesella,Amber Darter,VU,EN,G,2013.1
Percina cymatotaenia,Bluestripe Darter,EN,VU,G,2013.1
Percina jenkinsi,Conasauga Logperch,VU,CR,G,2013.1
Percina macrocephala,Longhead Darter,NT,DD,N,2013.1
Phenacobius teretulus,Kanawha Minnow,VU,LC,N,2013.1
Plagopterus argentissimus,Woundfin,VU,CR,G,2013.1
Pogonichthys macrolepidotus,Sacramento Splittail,EN,LC,G,2013.1
Pristis clavata,Dwarf Sawfish,CR,EN,N,2013.1
Pteronotropis welaka,Bluenose Shiner,DD,VU,N,2013.1
Semotilus lumbee,Sandhills Chub,DD,LC,N,2013.1
"",,,,,
ODONATA,,,,,
Arabineura khalidi,,VU,EN,N,2013.1
Azuragrion granti,Socotra Bluet,LC,NT,N,2013.1
Paragomphus sinaiticus,Sinai Hooktail,VU,NT,N,2013.1
Pseudagrion arabicum,,VU,EN,N,2013.1
Arabicnemis caerulea,Powder Blue Damselfly,VU,LC,N,2013.1
Procordulia smithii,Ranger Dragonfly,DD,LC,N,2013.1
"",,,,,
CRUSTACEANS,,,,,
Palaemonetes cummingi,Squirrel Chimney Cave Shrimp,VU,CR(PE),N,2013.1
