"taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","taxonomic_authority","infra_rank","infra_name","population","category","main_common_name"
58345423,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GERANIALES","GERANIACEAE","Erodium","Erodium foetidum subsp. foetidum","(L.) L'Hér.","subsp.","foetidum",NA,"NT",NA
60730872,"PLANTAE","TRACHEOPHYTA","LILIOPSIDA","POALES","CYPERACEAE","Carex","Carex paniculata subsp. lusitanica","(Willd.) Maire","subsp.","lusitanica",NA,"LC","Laiche du Portugal"
60821802,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","GEOTRUPIDAE","Thorectes","Thorectes brullei","(Jekel, 1865)",NA,NA,NA,"LC",NA
61695117,"ANIMALIA","CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE","Buteo","Buteo buteo","(Linnaeus, 1758)",NA,NA,NA,"LC","Eurasian Buzzard"
62148529,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","PIERIDAE","Belenois","Belenois aurota","(Fabricius, 1793)",NA,NA,NA,"NA","Pioneer White"
62148531,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","NYMPHALIDAE","Thaleropsis","Thaleropsis ionia","(Fischer von Waldheim & Eversmann, 1851)",NA,NA,NA,"LC",NA
62148532,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","NYMPHALIDAE","Melanargia","Melanargia grumi","Standfuss, 1892",NA,NA,NA,"LC","Turkish Marbled White"
62148534,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","NYMPHALIDAE","Hyponephele","Hyponephele maroccana","(Blachier, 1908)",NA,NA,NA,"LC","Moroccan Meadow Brown"
62148537,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","NYMPHALIDAE","Melanargia","Melanargia syriaca","(Oberthür, 1894)",NA,NA,NA,"LC","Syrian Marbled White"
62148539,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","NYMPHALIDAE","Hipparchia","Hipparchia parisatis","(Kollar, 1849)",NA,NA,NA,"LC","White-bordered Grayling"
62148542,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","PIERIDAE","Colias","Colias chlorocoma","Christoph, 1888",NA,NA,NA,"DD","Christoph's Clouded Yellow"
62148544,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","LYCAENIDAE","Polyommatus","Polyommatus ellisoni","(Pfeiffer, 1931)",NA,NA,NA,"DD","Lebanon Blue"
62148547,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","LYCAENIDAE","Polyommatus","Polyommatus alcestis","(Zerny, 1932)",NA,NA,NA,"LC","Lebanese Anomalous Blue"
62148550,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","NYMPHALIDAE","Hyponephele","Hyponephele kocaki","Eckweiler, 1978",NA,NA,NA,"DD","Kocak's Steppe Brown"
62148552,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","NYMPHALIDAE","Hyponephele","Hyponephele wagneri","(Herrich-Schäffer, 1846)",NA,NA,NA,"LC","Wagner's Steppe Brown"
62148555,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","HESPERIIDAE","Pyrgus","Pyrgus bolkariensis","de Prins & van der Poorten, 1995",NA,NA,NA,"DD","Bolkar Skipper"
62148557,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","NYMPHALIDAE","Hipparchia","Hipparchia algirica","Oberthür, 1876",NA,NA,NA,"LC","Mountain Grayling"
62148559,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","NYMPHALIDAE","Pseudochazara","Pseudochazara mamurra","(Herrich-Schäffer, 1846)",NA,NA,NA,"LC","Buff’s Asian Grayling"
62148561,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","LYCAENIDAE","Tomares","Tomares mauretanicus","(Lucas, 1849)",NA,NA,NA,"LC","Moroccan Hairstreak"
62148564,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","LYCAENIDAE","Plebejus","Plebejus martini","(Allard, 1868)",NA,NA,NA,"DD","Martin's Blue"
62148567,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","LYCAENIDAE","Polyommatus","Polyommatus poseidon","(Herrich-Schäffer, 1851)",NA,NA,NA,"LC","Poseidon Blue"
62148569,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","NYMPHALIDAE","Pseudochazara","Pseudochazara beroe","(Herrich-Schäffer 1844)",NA,NA,NA,"LC","Anatolian Mountain Grayling"
62148572,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","HESPERIIDAE","Pyrgus","Pyrgus aladaghensis","de Prins & van der Poorten, 1995",NA,NA,NA,"DD","Aladag Skipper"
62148574,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","LYCAENIDAE","Plebejus","Plebejus alcedo","(Christoph, 1877)",NA,NA,NA,"LC","Alcedo Blue"
62148579,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","LYCAENIDAE","Polyommatus","Polyommatus sertavulensis","(Koçak, 1979)",NA,NA,NA,"DD","Kocak's Blue"
62148581,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","PAPILIONIDAE","Zerynthia","Zerynthia deyrollei","(Oberthür, 1869)",NA,NA,NA,"LC","Eastern Steppe Festoon"
