"taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","taxonomic_authority","infra_rank","infra_name","population","category","main_common_name"
85846144,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","GRIMMIACEAE","Schistidium","Schistidium robustum","(Nees &amp; Hornsch.) H.H.Blom",NA,NA,NA,"LC","Robust Grimmia"
85846182,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","GRIMMIACEAE","Schistidium","Schistidium scandicum","H.H.Blom",NA,NA,NA,"LC",NA
85846225,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","GRIMMIACEAE","Schistidium","Schistidium sibiricum","Ignatova &amp; H.H.Blom",NA,NA,NA,"VU",NA
85846248,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","GRIMMIACEAE","Schistidium","Schistidium sinensiapocarpum","(Müll.Hal.) Ochyra",NA,NA,NA,"LC",NA
85846278,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","GRIMMIACEAE","Schistidium","Schistidium sordidum","I.Hagen",NA,NA,NA,"LC",NA
85846283,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","GRIMMIACEAE","Schistidium","Schistidium spinosum","H.H.Blom &amp; Lüth",NA,NA,NA,"CR",NA
85848248,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","GRIMMIACEAE","Schistidium","Schistidium strictum","(Turner) Loeske ex Mårtensson",NA,NA,NA,"LC","Upright Brown Grimmia"
85848302,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","GRIMMIACEAE","Schistidium","Schistidium subflaccidum","(Kindb.) H.H.Blom",NA,NA,NA,"LC",NA
85848306,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","GRIMMIACEAE","Schistidium","Schistidium subjulaceum","H.H.Blom",NA,NA,NA,"LC",NA
85848310,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","GRIMMIACEAE","Schistidium","Schistidium submuticum","Zick. ex H.H.Blom",NA,NA,NA,"LC",NA
85848440,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","GRIMMIACEAE","Schistidium","Schistidium tenerum","(J.E.Zetterst.) Nyholm",NA,NA,NA,"VU",NA
85848445,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","GRIMMIACEAE","Schistidium","Schistidium trichodon","(Brid.) Poelt",NA,NA,NA,"LC","Stook Grimmia"
85848590,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","GRIMMIACEAE","Schistidium","Schistidium umbrosum","(J.E.Zetterst.) H.H.Blom",NA,NA,NA,"LC",NA
85849524,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Seligeria","Seligeria acutifolia","Lindb.",NA,NA,NA,"LC","Sharp rock-bristle"
85849534,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Seligeria","Seligeria austriaca","T.Schauer",NA,NA,NA,"VU",NA
85849850,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Seligeria","Seligeria brevifolia","(Lindb.) Lindb. &amp; Arnell",NA,NA,NA,"LC","Short Rock-bristle"
85849876,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Seligeria","Seligeria calcarea","(Hedw.) Bruch &amp; Schimp.",NA,NA,NA,"LC","Chalk Rock-bristle"
85849889,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Seligeria","Seligeria calycina","Mitt. ex Lindb.",NA,NA,NA,"LC","English Rock-bristle"
85849925,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Blindiadelphus","Blindiadelphus campylopodus","(Kindb.) Fedosov &amp; Ignatov",NA,NA,NA,"NT","Bentfoot Rock-bristle"
85850045,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Seligeria","Seligeria carniolica","(Breidl. &amp; Beck) Nyholm",NA,NA,NA,"EN","Water Rock-bristle"
85850106,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Blindiadelphus","Blindiadelphus diversifolius","(Lindb.) Fedosov &amp; Ignatov",NA,NA,NA,"NT","Long Rock-bristle"
